Done in 9.838456153869629
3+00:00] Imported: 1, batch_size: 50
[2022-12-14 20:32:02.681185+00:00] Imported: 372, batch_size: 50
[2022-12-14 20:32:02.682604+00:00] Imported: 373, batch_size: 50
[2022-12-14 20:32:02.683996+00:00] Imported: 374, batch_size: 50
[2022-12-14 20:32:02.685365+00:00] Imported: 375, batch_size: 50
[2022-12-14 20:32:02.686848+00:00] Imported: 376, batch_size: 50
[2022-12-14 20:32:02.688761+00:00] Imported: 377, batch_size: 50
[2022-12-14 20:32:02.691458+00:00] Imported: 378, batch_size: 50
[2022-12-14 20:32:02.694154+00:00] Imported: 379, batch_size: 50
[2022-12-14 20:32:02.695927+00:00] Imported: 380, batch_size: 50
[2022-12-14 20:32:02.698107+00:00] Imported: 381, batch_size: 50
[2022-12-14 20:32:02.700150+00:00] Imported: 382, batch_size: 50
